Hireling	*SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Dmg-Min	Dmg-Max	Dmg/Lvl	ResistFire	ResistFire/Lvl	ResistCold	ResistCold/Lvl	ResistLightning	ResistLightning/Lvl	ResistPoison	ResistPoison/Lvl	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	HiringMaxLevelDifference	resurrectcostmultiplier	resurrectcostdivisor	resurrectcostmax
Rogue Scout	Fire - Normal	0	0	271	1	1	3	150	merc01	merc41	100	80	90	16	15	8	35	13	45	20	10	13	1	3	3	0	10	0	10	0	10	0	10	strhirespecial1	75	Inner Sight	4	10	0	1	10	Fire Arrow	4	25	8	1	10																									5	15	2	50000
Rogue Scout	Fire - Normal	0	0	271	1	1	25	150	merc01	merc41	100	80	442	26	147	15	63	13	89	20	230	25	7	9	5	44	9	44	9	44	9	44	9	strhirespecial1	75	Inner Sight	4	10	0	8	10	Fire Arrow	4	69	0	8	10																									5	15	2	50000
Rogue Scout	Fire - Normal	0	0	271	1	1	49	150	merc01	merc41	100	80	1066	50	435	23	93	13	137	20	710	38	19	21	8	86	6	86	6	86	6	86	6	strhirespecial1	75	Inner Sight	4	10	0	16	10	Fire Arrow	4	69	0	16	10																									5	15	2	50000
Rogue Scout	Ice - Normal	0	1	271	1	1	3	150	merc01	merc41	150	84	90	16	15	8	35	13	45	20	10	13	1	3	3	0	10	0	10	0	10	0	10	strhirespecial2	75	Inner Sight	4	10	0	1	10	Cold Arrow	4	25	2	1	10																									5	15	2	50000
Rogue Scout	Ice - Normal	0	1	271	1	1	25	150	merc01	merc41	150	84	442	24	147	15	63	13	89	20	230	25	7	9	5	44	9	44	9	44	9	44	9	strhirespecial2	75	Inner Sight	4	10	0	8	10	Cold Arrow	4	36	0	8	10																									5	15	2	50000
Rogue Scout	Ice - Normal	0	1	271	1	1	49	150	merc01	merc41	150	84	1018	32	435	23	93	13	137	20	710	38	19	21	8	86	6	86	6	86	6	86	6	strhirespecial2	75	Inner Sight	4	10	0	16	10	Cold Arrow	4	36	0	16	10																									5	15	2	50000
Rogue Scout	Fire - Nightmare	0	2	271	1	2	25	150	merc01	merc41	6000	88	398	24	132	15	60	13	84	20	207	25	6	8	5	41	9	41	9	41	9	41	9	strhirespecial1	75	Inner Sight	4	10	0	7	10	Fire Arrow	4	69	0	7	10																									5	15	2	50000
Rogue Scout	Fire - Nightmare	0	2	271	1	2	49	150	merc01	merc41	6000	88	974	32	420	23	90	13	132	20	687	38	18	20	8	83	6	83	6	83	6	83	6	strhirespecial1	75	Inner Sight	4	10	0	15	10	Fire Arrow	4	69	0	15	10																									5	15	2	50000
Rogue Scout	Ice - Nightmare	0	3	271	1	2	25	150	merc01	merc41	7500	92	398	24	132	15	60	13	84	20	207	25	6	8	5	41	9	41	9	41	9	41	9	strhirespecial2	75	Inner Sight	4	10	0	7	10	Cold Arrow	4	69	0	7	10																									5	15	2	50000
Rogue Scout	Ice - Nightmare	0	3	271	1	2	49	150	merc01	merc41	7500	92	974	32	420	23	90	13	132	20	687	38	18	20	8	83	6	83	6	83	6	83	6	strhirespecial2	75	Inner Sight	4	10	0	15	10	Cold Arrow	4	69	0	15	10																									5	15	2	50000
Rogue Scout	Fire - Hell	0	4	271	1	3	49	150	merc01	merc41	12500	96	876	32	378	23	87	13	127	20	618	38	17	19	8	80	6	80	6	80	6	80	6	strhirespecial1	75	Inner Sight	4	10	0	14	10	Fire Arrow	4	69	0	14	10																									5	15	2	50000
Rogue Scout	Ice - Hell	0	5	271	1	3	49	150	merc01	merc41	14000	100	876	32	378	23	87	13	127	20	618	38	17	19	8	80	6	80	6	80	6	80	6	strhirespecial2	75	Inner Sight	4	10	0	14	10	Cold Arrow	4	69	0	14	10																									5	15	2	50000
Rogue Scout	Fire - Normal	100	0	271	1	1	3	150	merc01	merc41	100	80	90	18	15	10	35	13	45	20	10	15	1	3	3	0	10	0	10	0	10	0	10	strhirespecial1	75	Fire Arrow	4	20	5	1	10	Immolation Arrow	4	40	5	1	10	Cyclone Armor	4	10	0	1	10	Pierce	1	10	0	1	10	HireMultipFireArrow	4	30	0	1	10							5	15	2	66666
Rogue Scout	Fire - Normal	100	0	271	1	1	36	150	merc01	merc41	100	80	684	36	279	19	77	13	111	20	406	30	9	11	5	66	9	66	9	66	9	66	9	strhirespecial1	75	Fire Arrow	4	20	0	12	10	Immolation Arrow	4	40	0	12	10	Cyclone Armor	4	10	0	12	10	Pierce	1	10	0	12	10	HireMultipFireArrow	4	30	0	12	10							5	15	2	66666
Rogue Scout	Fire - Normal	100	0	271	1	1	67	150	merc01	merc41	100	80	1800	60	744	28	116	13	173	20	1150	45	25	27	8	121	6	121	6	121	6	121	6	strhirespecial1	75	Fire Arrow	4	20	0	22	10	Immolation Arrow	4	40	0	22	10	Cyclone Armor	4	10	0	22	10	Pierce	1	10	0	22	10	HireMultipFireArrow	4	30	0	22	10							5	15	2	66666
Rogue Scout	Ice - Normal	100	1	271	1	1	3	150	merc01	merc41	150	84	90	18	15	10	35	13	45	20	10	15	1	3	3	0	10	0	10	0	10	0	10	strhirespecial2	75	Cold Arrow	4	20	5	1	10	Freezing Arrow	4	40	5	1	10	Cyclone Armor	4	10	0	1	10	Pierce	1	10	0	1	10	HireMultipColdArrow	4	30	0	1	10							5	15	2	66666
Rogue Scout	Ice - Normal	100	1	271	1	1	36	150	merc01	merc41	150	84	684	36	279	19	77	13	111	20	406	30	9	11	5	66	9	66	9	66	9	66	9	strhirespecial2	75	Cold Arrow	4	20	0	12	10	Freezing Arrow	4	40	0	12	10	Cyclone Armor	4	10	0	12	10	Pierce	1	10	0	12	10	HireMultipColdArrow	4	30	0	12	10							5	15	2	66666
Rogue Scout	Ice - Normal	100	1	271	1	1	67	150	merc01	merc41	150	84	1800	60	744	28	116	13	173	20	1150	45	25	27	8	121	6	121	6	121	6	121	6	strhirespecial2	75	Cold Arrow	4	20	0	22	10	Freezing Arrow	4	40	0	22	10	Cyclone Armor	4	10	0	22	10	Pierce	1	10	0	22	10	HireMultipColdArrow	4	30	0	22	10							5	15	2	66666
Rogue Scout	Fire - Nightmare	100	2	271	1	2	36	150	merc01	merc41	6000	88	616	36	251	19	74	13	106	20	365	30	8	10	5	63	9	63	9	63	9	63	9	strhirespecial1	75	Fire Arrow	4	20	0	11	10	Immolation Arrow	4	40	0	11	10	Cyclone Armor	4	10	0	11	10	Pierce	1	10	0	11	10	HireMultipFireArrow	4	30	0	11	10							5	15	2	66666
