Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	*IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl	MonLvl(N)	MonLvl(H)	MonLvlEx	MonLvlEx(N)	MonLvlEx(H)	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	mon21	mon22	mon23	mon24	mon25	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	nmon21	nmon22	nmon23	nmon24	nmon25	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	umon21	umon22	umon23	umon24	umon25	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	LevelEntry	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7
Null	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	50				0	0	0							0	0																																																																																										0	0	255				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Act 1 - Town	1	0	0			0	56	40	56	40	56	40	-1	-1	0	1	1	0	0	0	1	1	0	0	2	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	1	1	0	0	2025	0	25	50				0	0	0							0	0																																																																														chicken				30	30							0	1	0	Rogue Encampment	To The Rogue Encampment	EnteringTheRogueEncampment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Act 1 - Wilderness 1	2	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	0	4	5	0	0	0	8	8	8	8	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	0	0	1	0	2025	1	26	66	1	36	67	520	1040	1560			25	25	25	25	1	0	25	zombie1	fallen1	quillrat1																								zombie1	fallen1	quillrat1																							zombie1	fallen1	quillrat1	skeleton3	corruptrogue3	skeleton2	fallen2	goatman2	fallenshaman2	cr_archer2	zombie1	skeleton3	fallenshaman1	quillrat3	corruptrogue1	fallenshaman1	cr_lancer1	quillrat8	quillrat6	fallen5	skeleton5	cr_lancer4	fallenshaman6	cr_lancer5														0	2	255	Blood Moor	To The Blood Moor	EnteringTheBloodMoor	4	38	33	34	0	0	0	0	3	17	17	17	0	0	0	0
Act 1 - Wilderness 2	3	0	0			0	80	80	80	80	80	80	1000	1000	0	1	1	0	0	0	1	1	1	0	3	2	6	1	4	5	0	0	0	9	9	9	9	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	1	0	1	0	2025	2	27	67	2	36	68	520	1040	1560	0	0	25	25	25	25	1	0	25	brute1	corruptrogue1	fallenshaman1	cr_lancer1																							brute1	corruptrogue1	fallenshaman1	cr_lancer1																						brute1	corruptrogue1	fallenshaman1	cr_lancer1	corruptrogue3	quillrat3	cr_lancer3	sk_archer2	skmage_fire1	skeleton1	skeleton1	zombie2	cr_archer1	skeleton3	fallen3	corruptrogue3	cr_archer3	sk_archer5	skeleton7	bighead4	skeleton6	fallenshaman7																0	2	1	Cold Plains	To The Cold Plains	EnteringTheColdPlains	4	38	33	34	0	0	0	0	3	22	22	22	0	0	0	0
Act 1 - Wilderness 3	4	0	0			0	80	80	80	80	80	80	1000	1000	0	1	1	0	0	0	1	1	1	0	3	2	6	2	4	5	0	0	0	10	10	10	10	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	0	0	1	0	2025	4	29	69	4	37	68	520	1040	1560	0	0	25	25	25	25	1	0	25	skeleton1	zombie2	crownest1	goatman1	cr_archer1																						skeleton1	zombie2	crownest1	goatman1	cr_archer1																					skeleton1	zombie2	crownest1	goatman1	cr_archer1	zombie1	fallen3	fallenshaman1	skeleton3	goatman2	bighead3	fallen2	corruptrogue2	sk_archer1	bighead3	fallen2	cr_archer3	cr_archer2	foulcrow3	bighead5	fallen6	fallenshaman8	skeleton8															0	2	2	Stony Field	To The Stony Field	EnteringTheStonyField	1	38	33	34	0	0	0	0	4	27	27	27	0	0	0	0
Act 1 - Wilderness 4	5	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	3	4	5	0	0	0	10	10	10	10	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	1	0	1	0	2025	5	30	70	5	38	68	520	1040	1560	0	0	25	25	25	25	1	0	25	fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1																						fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1																					fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1	skeleton3	fallen3	corruptrogue3	cr_archer3	sk_archer1	bighead3	fallen2	corruptrogue4	cr_archer2	fallen2	corruptrogue2	quillrat2	cr_lancer2	foulcrow3	foulcrow1	wraith6	skeleton6	cr_lancer9															0	2	3	Dark Wood	To The Dark Wood	EnteringTheDarkWood	1	38	33	34	0	0	0	0	4	30	30	30	0	0	0	0
Act 1 - Wilderness 5	6	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	4	4	5	0	0	20	11	11	11	11	0	-1	-1	10	0	1	2	3	-1	0	0	0	0	0	0	1	0	2025	6	31	71	6	38	69	520	1040	1560	0	0	25	25	25	25	1	0	25	zombie1	skeleton2	brute2	goatman2	fallenshaman2	cr_archer2																					zombie1	skeleton2	brute2	goatman2	fallenshaman2	cr_archer2																				zombie1	skeleton2	brute2	goatman2	fallenshaman2	cr_archer2	skeleton1	zombie2	skeleton3	fallen3	corruptrogue3	cr_archer3	crownest2	fallen1	quillrat1	skeleton3	cr_lancer4	foulcrow2	wraith7	skeleton7	fallenshaman5																	0	2	4	Black Marsh	To The Black Marsh	EnteringTheBlackMarsh	1	38	33	34	0	0	0	0	5	32	32	32	0	0	0	0
Act 1 - Wilderness 6	7	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	2	4	5	0	0	0	12	12	12	12	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	1	0	1	0	2025	8	33	73	8	39	69	520	1040	1560	0	0	25	25	25	25	1	0	25	corruptrogue3	quillrat3	cr_lancer3	sk_archer2	skmage_fire1																						corruptrogue3	quillrat3	cr_lancer3	sk_archer2	skmage_fire1																					corruptrogue3	quillrat3	cr_lancer3	sk_archer2	skmage_fire1	skeleton1	zombie2	corruptrogue2	skeleton1	zombie2	cr_archer1	skeleton1	zombie2	cr_archer4	goatman1	sk_archer5	sk_archer2	foulcrow3	wraith8	cr_lancer9																		0	2	255	Tamoe Highland	To The Tamoe Highland	EnteringTheTamoeHighland	1	38	33	34	0	0	0	0	5	35	35	35	0	0	0	0
Act 1 - Cave 1	8	0	0			1	200	200	200	200	200	200	1500	1000	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	2	0	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	1	2025	1	26	66	1	36	79	600	1200	1800	0	0	25	25	25	25	0	0	25	zombie1	brute1	fallenshaman1																								zombie1	brute1	fallenshaman1																							zombie1	brute1	fallenshaman1	brute1	corruptrogue1	fallenshaman1	cr_lancer1	corruptrogue3	bighead3	fallen2	corruptrogue2	sk_archer1	fallen2	corruptrogue2	quillrat2	cr_lancer2	skmage_ltng7	foulcrow4	fallen6	skeleton8	skmage_cold6					rat	bat			30	30							0	4	255	Den of Evil	To The Den of Evil	EnteringTheDenOfEvilInQuest	6	4	0	0	0	0	0	0	35	45	0	0	0	0	0	0
Act 1 - Cave 2	9	0	0			2	200	200	200	200	200	200	1500	1300	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	3	0	0	0	13	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	2	27	67	2	36	77	600	1200	1800	0	0	25	25	25	25	1	0	25	skeleton1	zombie2	cr_archer1																								skeleton1	zombie2	cr_archer1																							skeleton1	zombie2	cr_archer1	skeleton3	fallen3	corruptrogue3	cr_archer3	skeleton3	bighead3	fallen2	corruptrogue4	cr_archer2	corruptrogue2	skeleton2	brute2	goatman2	skmage_pois7	fallen5	cr_lancer4	sk_archer11	skmage_fire7					rat	bat			30	30							0	4	255	Cave Level 1	To The Cave Level 1	EnteringTheCaveLevel1	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0
