Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	6	92	147	6	108	173	8	108	216	8	108	216	11	268	2905	11	268	3875	2	5	8	2	3	4	30	78	117	30	78	117
2	12	102	162	12	120	190	12	126	254	12	126	254	14	283	2982	14	283	3976	3	6	12	3	4	6	40	104	156	40	104	156
3	18	112	177	18	132	208	18	144	292	18	144	292	18	300	3063	18	300	4085	3	6	12	3	4	6	50	131	197	50	131	197
4	24	122	192	24	144	226	26	162	330	26	162	330	23	313	3140	23	313	4186	4	8	14	4	5	7	60	156	234	60	156	234
5	30	133	207	30	156	243	35	180	368	35	180	368	26	330	3220	26	330	4295	4	8	14	4	5	7	70	182	273	70	182	273
6	36	143	222	36	168	261	45	198	406	45	198	406	30	348	3297	30	348	4396	5	11	18	5	7	9	80	207	311	80	207	311
7	42	153	236	42	180	278	56	216	444	56	216	444	35	363	3378	35	363	4505	5	11	18	5	7	9	90	234	351	90	234	351
8	48	163	252	48	192	296	67	234	482	67	234	482	41	380	3455	41	380	4606	6	12	22	6	8	11	100	260	390	100	260	390
9	54	173	267	54	204	314	78	252	520	78	252	520	47	393	3535	47	393	4715	7	14	26	7	9	13	110	285	428	110	285	428
10	60	184	281	60	216	331	89	270	558	89	270	558	53	410	3612	53	410	4816	7	14	26	7	9	13	120	312	468	120	312	468
11	66	194	297	66	228	349	100	288	596	100	288	596	54	428	3693	54	428	4925	8	17	30	8	11	15	130	338	507	130	338	507
12	72	204	311	72	240	366	111	306	634	111	306	634	60	443	3770	60	443	5026	8	17	30	8	11	15	140	363	545	140	363	545
